timestamp,device_timestamp,CH0,CH1,CH2,CH3,CH4,CH5,CH6,CH7,T1_board,T2_board,mean,setpoint,P,I,D
2026-06-07T17:16:19.401206,261949614,38.96,39.71,40.12,40.18,40.37,40.46,40.33,40.05,33.09,34.59,40.02,40.0,-5.38,1670.43,0.0
2026-06-07T17:16:20.399848,261950650,38.96,39.68,40.15,40.18,40.37,40.46,40.33,40.02,33.09,34.58,39.99,40.0,2.44,1670.53,0.0
2026-06-07T17:16:21.386894,261951686,38.96,39.68,40.08,40.18,40.37,40.46,40.33,40.02,33.09,34.59,39.99,40.0,2.44,1670.63,0.0
2026-06-07T17:16:22.386572,261952720,38.99,39.65,40.15,40.18,40.37,40.46,40.3,40.02,33.08,34.6,39.99,40.0,2.44,1670.73,0.0
2026-06-07T17:16:23.386881,261953755,38.99,39.68,40.12,40.18,40.4,40.46,40.33,39.99,33.11,34.58,39.99,40.0,2.44,1670.82,0.0
2026-06-07T17:16:24.400572,261954790,38.96,39.65,40.12,40.15,40.4,40.49,40.33,40.02,33.1,34.6,39.99,40.0,2.44,1670.92,0.0
2026-06-07T17:16:25.385781,261955826,38.96,39.65,40.12,40.15,40.4,40.49,40.33,40.05,33.12,34.59,39.99,40.0,2.44,1671.02,0.0
2026-06-07T17:16:26.398866,261956861,38.96,39.68,40.15,40.15,40.4,40.46,40.33,40.02,33.1,34.58,39.99,40.0,2.44,1671.12,0.0
2026-06-07T17:16:27.385835,261957897,38.96,39.68,40.15,40.18,40.37,40.49,40.33,40.02,33.09,34.57,40.02,40.0,-5.38,1670.9,0.0
2026-06-07T17:16:28.387026,261958933,38.96,39.68,40.12,40.15,40.37,40.46,40.3,40.02,33.11,34.58,39.99,40.0,2.44,1671.0,0.0
2026-06-07T17:16:29.399059,261959967,38.96,39.68,40.12,40.18,40.4,40.49,40.33,40.02,33.1,34.59,40.02,40.0,-5.38,1670.78,0.0
2026-06-07T17:16:30.385825,261961002,38.96,39.68,40.15,40.18,40.4,40.49,40.33,40.02,33.12,34.58,40.02,40.0,-5.38,1670.57,0.0
2026-06-07T17:16:31.399175,261962038,38.93,39.68,40.12,40.15,40.37,40.46,40.33,40.05,33.1,34.58,39.99,40.0,2.44,1670.67,0.0
2026-06-07T17:16:32.400187,261963072,38.99,39.65,40.12,40.21,40.37,40.49,40.33,40.05,33.1,34.6,40.02,40.0,-5.38,1670.45,0.0
2026-06-07T17:16:33.400929,261964108,38.96,39.65,40.15,40.15,40.37,40.46,40.3,39.99,33.1,34.59,39.99,40.0,2.44,1670.55,0.0
2026-06-07T17:16:34.399282,261965144,38.93,39.65,40.12,40.18,40.4,40.46,40.33,40.02,33.11,34.6,39.99,40.0,2.44,1670.65,0.0
2026-06-07T17:16:35.415965,261966179,38.96,39.65,40.12,40.15,40.4,40.49,40.33,40.02,33.1,34.6,39.99,40.0,2.44,1670.74,0.0
2026-06-07T17:16:36.386902,261967213,38.96,39.65,40.15,40.18,40.4,40.49,40.33,40.05,33.12,34.6,40.02,40.0,-5.38,1670.53,0.0
2026-06-07T17:16:37.401508,261968253,38.96,39.68,40.12,40.18,40.4,40.46,40.33,40.02,33.09,34.6,39.99,40.0,2.44,1670.63,0.0
2026-06-07T17:16:38.399185,261969289,38.99,39.65,40.12,40.18,40.4,40.52,40.33,40.05,33.12,34.59,40.02,40.0,-5.38,1670.41,0.0
2026-06-07T17:16:39.399083,261970324,38.96,39.68,40.15,40.15,40.4,40.46,40.33,40.02,33.11,34.59,39.99,40.0,2.44,1670.51,0.0
2026-06-07T17:16:40.385800,261971359,38.96,39.68,40.15,40.15,40.4,40.49,40.33,40.05,33.1,34.59,40.02,40.0,-5.38,1670.29,0.0
2026-06-07T17:16:41.400567,261972396,38.96,39.68,40.15,40.18,40.37,40.49,40.37,40.02,33.09,34.6,40.02,40.0,-5.38,1670.08,0.0
2026-06-07T17:16:42.387994,261973430,38.96,39.61,40.12,40.18,40.4,40.49,40.37,40.02,33.11,34.59,39.99,40.0,2.44,1670.17,0.0
2026-06-07T17:16:43.400283,261974465,38.93,39.68,40.15,40.18,40.4,40.49,40.33,40.02,33.1,34.59,40.02,40.0,-5.38,1669.96,0.0
2026-06-07T17:16:44.414988,261975501,38.96,39.65,40.12,40.18,40.4,40.46,40.33,40.02,33.1,34.6,39.99,40.0,2.44,1670.06,0.0
2026-06-07T17:16:45.387411,261976535,38.96,39.65,40.12,40.18,40.43,40.46,40.3,40.02,33.12,34.58,39.99,40.0,2.44,1670.15,0.0
2026-06-07T17:16:46.386812,261977571,38.96,39.65,40.12,40.15,40.4,40.49,40.33,40.05,33.1,34.6,39.99,40.0,2.44,1670.25,0.0
2026-06-07T17:16:47.399298,261978605,38.96,39.65,40.12,40.18,40.4,40.46,40.33,40.05,33.1,34.6,39.99,40.0,2.44,1670.35,0.0
2026-06-07T17:16:48.385531,261978605,38.96,39.65,40.12,40.18,40.4,40.46,40.33,40.05,33.1,34.6,39.99,40.0,2.44,1670.35,0.0
2026-06-07T17:16:49.400878,261979644,38.96,39.68,40.15,40.18,40.37,40.49,40.37,40.02,33.11,34.59,40.02,40.0,-5.38,1670.13,0.0
2026-06-07T17:16:50.387986,261980679,38.96,39.65,40.12,40.18,40.37,40.46,40.33,40.02,33.12,34.58,39.99,40.0,2.44,1670.23,0.0
2026-06-07T17:16:51.385839,261981714,38.96,39.68,40.12,40.18,40.37,40.46,40.33,40.02,33.08,34.59,39.99,40.0,2.44,1670.33,0.0
2026-06-07T17:16:52.400104,261982749,38.96,39.65,40.12,40.18,40.37,40.46,40.33,40.02,33.08,34.6,39.99,40.0,2.44,1670.43,0.0
2026-06-07T17:16:53.414979,261983783,38.93,39.65,40.12,40.18,40.4,40.49,40.33,40.02,33.13,34.6,39.99,40.0,2.44,1670.53,0.0
2026-06-07T17:16:54.386912,261984820,38.96,39.65,40.12,40.15,40.37,40.49,40.33,40.02,33.11,34.6,39.99,40.0,2.44,1670.62,0.0
